County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,796,771,25,14905
ALLEGHENY,SW,11779,11323,456,166083
ARMSTRONG,SW,418,412,6,6432
BEAVER,SW,1838,1784,54,18829
BEDFORD,SC,229,198,31,4282
BERKS,SE,6862,6678,184,47277
BLAIR,SC,589,567,22,15972
BRADFORD,NC,129,119,10,7026
BUCKS,SE,8573,7957,616,90619
BUTLER,SW,1001,907,94,20817
CAMBRIA,SW,547,483,64,22236
CAMERON,NW,8,8,0,429
CARBON,NE,449,445,4,8837
CENTRE,NC,1836,1775,61,23157
CHESTER,SE,6590,6330,260,77001
CLARION,NW,114,101,13,3049
CLEARFIELD,NW,311,258,53,6896
CLINTON,NC,198,181,17,4110
COLUMBIA,NC,863,826,37,7297
CRAWFORD,NW,290,250,40,8059
CUMBERLAND,SC,1764,1664,100,28145
DAUPHIN,SC,3704,3608,96,41677
DELAWARE,SE,11158,10885,273,101194
ELK,NW,67,52,15,2366
ERIE,NW,1483,1269,214,26251
FAYETTE,SW,773,739,34,14630
FOREST,NW,15,12,3,746
FRANKLIN,SC,1719,1647,72,19508
FULTON,SC,44,41,3,1153
GREENE,SW,176,160,16,4045
HUNTINGDON,SC,396,385,11,5682
INDIANA,SW,642,568,74,8571
JEFFERSON,NW,109,81,28,3239
JUNIATA,SC,181,173,8,2142
LACKAWANNA,NE,2401,2332,69,29939
LANCASTER,SE,7566,7402,164,74003
LAWRENCE,NW,499,432,67,7369
LEBANON,SC,1945,1872,73,18515
LEHIGH,NE,5494,5418,76,56350
LUZERNE,NE,4027,3917,110,43677
LYCOMING,NC,630,593,37,12568
MCKEAN,NW,56,44,12,4185
MERCER,NW,699,622,77,11182
MIFFLIN,SC,211,202,9,6210
MONROE,NE,1775,1730,45,21777
MONTGOMERY,SE,11962,11932,30,139068
MONTOUR,NC,164,142,22,7662
NORTHAMPTON,NE,4394,4248,146,51904
NORTHUMBERLAND,NC,887,822,65,11086
PERRY,SC,207,186,21,3781
PHILADELPHIA,SE,30987,30979,8,262046
PIKE,NE,566,541,25,6154
POTTER,NC,26,23,3,1063
SCHUYLKILL,SE,1065,1030,35,17965
SNYDER,NC,266,216,50,3241
SOMERSET,SW,206,175,31,9805
SULLIVAN,NC,11,6,5,442
SUSQUEHANNA,NE,293,284,9,4144
TIOGA,NC,64,51,13,3214
UNION,NC,459,434,25,9835
VENANGO,NW,81,64,17,4544
WARREN,NW,42,32,10,3306
WASHINGTON,SW,1284,1217,67,24070
WAYNE,NE,218,208,10,5839
WESTMORELAND,SW,2084,2000,84,40998
WYOMING,NE,72,69,3,2651
YORK,SC,4520,4401,119,55926
