County,Region,Cases,Confirmed,Probable,PersonsWithNegativePCR
ADAMS,SC,680,662,18,13292
ALLEGHENY,SW,10444,10108,336,149391
ARMSTRONG,SW,324,321,3,5448
BEAVER,SW,1630,1583,47,16936
BEDFORD,SC,172,153,19,3735
BERKS,SE,6129,5953,176,40929
BLAIR,SC,468,450,18,13820
BRADFORD,NC,99,92,7,6377
BUCKS,SE,7856,7252,604,79927
BUTLER,SW,801,735,66,18211
CAMBRIA,SW,473,425,48,20137
CAMERON,NW,8,8,0,392
CARBON,NE,425,421,4,8049
CENTRE,NC,538,491,47,15240
CHESTER,SE,5702,5466,236,66646
CLARION,NW,98,89,9,2726
CLEARFIELD,NW,235,184,51,5762
CLINTON,NC,143,127,16,3539
COLUMBIA,NC,692,660,32,6452
CRAWFORD,NW,218,191,27,6607
CUMBERLAND,SC,1553,1469,84,24102
DAUPHIN,SC,3372,3286,86,36181
DELAWARE,SE,10479,10215,264,89430
ELK,NW,65,50,15,2171
ERIE,NW,1369,1167,202,23498
FAYETTE,SW,699,670,29,12698
FOREST,NW,14,11,3,642
FRANKLIN,SC,1540,1475,65,17026
FULTON,SC,36,34,2,1023
GREENE,SW,140,129,11,3570
HUNTINGDON,SC,373,362,11,4289
INDIANA,SW,440,407,33,7590
JEFFERSON,NW,97,72,25,2909
JUNIATA,SC,151,143,8,1920
LACKAWANNA,NE,2117,2053,64,25219
LANCASTER,SE,6867,6730,137,64449
LAWRENCE,NW,466,402,64,6736
LEBANON,SC,1739,1669,70,16146
LEHIGH,NE,5223,5153,70,50575
LUZERNE,NE,3801,3706,95,38840
LYCOMING,NC,531,500,31,11050
MERCER,NW,553,483,70,10035
MIFFLIN,SC,163,156,7,5473
MONROE,NE,1720,1676,44,19760
MONTGOMERY,SE,11126,11110,16,121942
MONTOUR,NC,137,120,17,7339
NORTHAMPTON,NE,4130,4004,126,47017
NORTHUMBERLAND,NC,703,650,53,9114
PERRY,SC,178,160,18,3343
PHILADELPHIA,SE,29269,29261,8,230042
PIKE,NE,544,519,25,5508
POTTER,NC,25,22,3,967
SCHUYLKILL,SE,996,963,33,15838
SNYDER,NC,167,144,23,2820
SOMERSET,SW,172,152,20,8530
SULLIVAN,NC,10,5,5,388
SUSQUEHANNA,NE,270,263,7,3735
TIOGA,NC,49,40,9,2754
UNION,NC,390,371,19,8711
VENANGO,NW,70,55,15,4110
WARREN,NW,31,23,8,3078
WASHINGTON,SW,1086,1033,53,21118
WAYNE,NE,181,174,7,5170
WESTMORELAND,SW,1837,1776,61,37682
WYOMING,NE,67,64,3,2352
