County,"# of Deaths",County Population1,Rate2
Adams,24,"102,811",23.3
Allegheny,331,"1,218,452",27.2
Armstrong,13,"65,263",19.9
Beaver,106,"164,742",64.3
Bedford,6,"48,176",12.5
Berks,385,"420,152",91.6
Blair,13,"122,492",10.6
Bradford,3,"60,833",4.9
Bucks,594,"628,195",94.6
Butler,21,"187,888",11.2
Cambria,6,"131,730",4.6
Carbon,28,"64,227",43.6
Centre,11,"162,805",6.8
Chester,356,"522,046",68.2
Clarion,3,"38,779",7.7
Clearfield,1,"79,388",1.3
Clinton,5,"38,684",12.9
Columbia,35,"65,456",53.5
Crawford,2,"85,063",2.4
Cumberland,73,"251,423",29.0
Dauphin,169,"277,097",61.0
Delaware,739,"564,751",130.9
Elk,2,"30,169",6.6
Erie,37,"272,061",13.6
Fayette,7,"130,441",5.4
Franklin,49,"154,835",31.6
Fulton,2,"14,523",13.8
Greene,1,"36,506",2.7
Huntingdon,6,"45,168",13.3
Indiana,11,"84,501",13.0
Jefferson,2,"43,641",4.6
Juniata,6,"24,704",24.3
Lackawanna,214,"210,793",101.5
Lancaster,445,"543,557",81.9
Lawrence,21,"86,184",24.4
Lebanon,57,"141,314",40.3
Lehigh,345,"368,100",93.7
Luzerne,189,"317,646",59.5
Lycoming,23,"113,664",20.2
McKean,2,"40,968",4.9
Mercer,13,"110,683",11.7
Mifflin,1,"46,222",2.2
Monroe,129,"169,507",76.1
Montgomery,867,"828,604",104.6
Montour,5,"18,240",27.4
Northampton,302,"304,807",99.1
Northumberland,43,"91,083",47.2
Perry,6,"46,139",13.0
Philadelphia,1784,"1,584,138",112.6
Pike,21,"55,933",37.5
Schuylkill,51,"142,067",35.9
Snyder,3,"40,540",7.4
Somerset,3,"73,952",4.1
Susquehanna,28,"40,589",69.0
Tioga,3,"40,763",7.4
Union,6,"44,785",13.4
Venango,1,"51,266",2.0
Warren,1,"39,498",2.5
Washington,28,"207,346",13.5
Wayne,10,"51,276",19.5
Westmoreland,49,"350,611",14.0
Wyoming,8,"27,046",29.6
York,132,"448,273",29.4
