County,"# of Deaths",County Population,Rate
Adams,25,"102,811",24.3
Allegheny,345,"1,218,452",28.3
Armstrong,17,"65,263",26
Beaver,116,"164,742",70.4
Bedford,6,"48,176",12.5
Berks,387,"420,152",92.1
Blair,15,"122,492",12.2
Bradford,3,"60,833",4.9
Bucks,598,"628,195",95.2
Butler,22,"187,888",11.7
Cambria,7,"131,730",5.3
Carbon,28,"64,227",43.6
Centre,11,"162,805",6.8
Chester,359,"522,046",68.8
Clarion,3,"38,779",7.7
Clearfield,2,"79,388",2.5
Clinton,5,"38,684",12.9
Columbia,35,"65,456",53.5
Crawford,3,"85,063",3.5
Cumberland,75,"251,423",29.8
Dauphin,173,"277,097",62.4
Delaware,748,"564,751",132.4
Elk,2,"30,169",6.6
Erie,37,"272,061",13.6
Fayette,7,"130,441",5.4
Franklin,49,"154,835",31.6
Fulton,2,"14,523",13.8
Greene,1,"36,506",2.7
Huntingdon,6,"45,168",13.3
Indiana,12,"84,501",14.2
Jefferson,2,"43,641",4.6
Juniata,7,"24,704",28.3
Lackawanna,215,"210,793",102
Lancaster,453,"543,557",83.3
Lawrence,22,"86,184",25.5
Lebanon,59,"141,314",41.8
Lehigh,346,"368,100",94
Luzerne,189,"317,646",59.5
Lycoming,23,"113,664",20.2
Mckean,2,"40,968",4.9
Mercer,14,"110,683",12.6
Mifflin,2,"46,222",4.3
Monroe,129,"169,507",76.1
Montgomery,870,"828,604",105
Montour,5,"18,240",27.4
Northampton,304,"304,807",99.7
Northumberland,48,"91,083",52.7
Perry,6,"46,139",13
Philadelphia,1805,"1,584,138",113.9
Pike,21,"55,933",37.5
Schuylkill,52,"142,067",36.6
Snyder,3,"40,540",7.4
Somerset,3,"73,952",4.1
Susquehanna,28,"40,589",69
Tioga,3,"40,763",7.4
Union,6,"44,785",13.4
Venango,1,"51,266",2
Warren,1,"39,498",2.5
Washington,29,"207,346",14
Wayne,10,"51,276",19.5
Westmoreland,50,"350,611",14.3
Wyoming,8,"27,046",29.6
York,141,"448,273",31.5
