County,"# of Deaths",County Population1
Adams,24,"102,811"
Allegheny,327,"1,218,452"
Armstrong,12,"65,263"
Beaver,102,"164,742"
Bedford,5,"48,176"
Berks,385,"420,152"
Blair,13,"122,492"
Bradford,3,"60,833"
Bucks,590,"628,195"
Butler,19,"187,888"
Cambria,6,"131,730"
Carbon,28,"64,227"
Centre,11,"162,805"
Chester,355,"522,046"
Clarion,3,"38,779"
Clearfield,1,"79,388"
Clinton,5,"38,684"
Columbia,35,"65,456"
Crawford,2,"85,063"
Cumberland,73,"251,423"
Dauphin,166,"277,097"
Delaware,728,"564,751"
Elk,2,"30,169"
Erie,36,"272,061"
Fayette,6,"130,441"
Franklin,47,"154,835"
Fulton,2,"14,523"
Greene,1,"36,506"
Huntingdon,5,"45,168"
Indiana,11,"84,501"
Jefferson,2,"43,641"
Juniata,6,"24,704"
Lackawanna,214,"210,793"
Lancaster,441,"543,557"
Lawrence,21,"86,184"
Lebanon,57,"141,314"
Lehigh,345,"368,100"
Luzerne,189,"317,646"
Lycoming,23,"113,664"
McKean,2,"40,968"
Mercer,13,"110,683"
Mifflin,1,"46,222"
Monroe,129,"169,507"
Montgomery,863,"828,604"
Montour,5,"18,240"
Northampton,301,"304,807"
Northumberland,39,"91,083"
Perry,6,"46,139"
Philadelphia,1776,"1,584,138"
Pike,21,"55,933"
Schuylkill,51,"142,067"
Snyder,3,"40,540"
Somerset,3,"73,952"
Susquehanna,28,"40,589"
Tioga,3,"40,763"
Union,6,"44,785"
Venango,1,"51,266"
Warren,1,"39,498"
Washington,28,"207,346"
Wayne,10,"51,276"
Westmoreland,49,"350,611"
Wyoming,8,"27,046"
York,132,"448,273"
